instance,best_known,IGrms,VBIH,GmysBB,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
VFR200_40_4,12974,13197,12974,missing,15346,-,-,13693,-,-,13595,-,-,15857,-,-,13619,-,-,15638,-,-,15801,-,-,13102,-,-,15801,-,-,13709,-,-,13159,-,-,13153,-,-,13140,-,-
VFR200_40_5,13061,13111,13061,missing,15267,-,-,13518,-,-,13387,-,-,14289,-,-,13503,-,-,14155,-,-,15626,-,-,12899,9.385005950927734,-,15742,-,-,13518,-,-,13036,-,-,12982,-,-,12964,-,-
VFR200_40_6,12927,12927,13220,missing,15556,-,-,13617,-,-,13728,-,-,15192,-,-,13796,-,-,14978,-,-,15827,-,-,13026,-,-,15827,-,-,13672,-,-,13100,-,-,13120,-,-,13056,-,-
VFR200_40_7,13023,13023,13132,missing,15470,-,-,13757,-,-,13512,-,-,15277,-,-,13587,-,-,14808,-,-,15757,-,-,13156,-,-,15757,-,-,13825,-,-,13247,-,-,13251,-,-,13190,-,-
VFR200_40_8,13033,13188,13033,missing,15292,-,-,13736,-,-,13435,-,-,14789,-,-,13463,-,-,15214,-,-,15574,-,-,13067,-,-,15604,-,-,13782,-,-,13175,-,-,13154,-,-,13136,-,-
VFR200_40_9,13089,13089,13146,missing,15411,-,-,13651,-,-,13627,-,-,15781,-,-,13675,-,-,15688,-,-,15410,-,-,13024,18.294912338256836,-,15523,-,-,13703,-,-,13112,-,-,13094,-,-,13078,-,-
VFR200_40_10,13042,13042,13049,missing,15383,-,-,13961,-,-,13545,-,-,14272,-,-,13508,-,-,14089,-,-,15624,-,-,13049,-,-,15624,-,-,13865,-,-,13192,-,-,13189,-,-,13166,-,-
VFR200_60_1,14861,14861,14906,missing,17645,-,-,16010,-,-,15609,-,-,18015,-,-,15631,-,-,17968,-,-,17797,-,-,14946,-,-,17797,-,-,15931,-,-,14954,-,-,14914,-,-,14893,-,-
VFR200_60_2,14881,14881,15134,missing,17872,-,-,15902,-,-,15816,-,-,17415,-,-,16006,-,-,17369,-,-,17678,-,-,14965,-,-,17678,-,-,15771,-,-,14930,-,-,14932,-,-,14900,-,-
VFR200_60_3,14890,14890,14968,missing,17519,-,-,16371,-,-,15773,-,-,17411,-,-,15792,-,-,17473,-,-,17895,-,-,15446,-,-,17867,-,-,16410,-,-,15221,-,-,15151,-,-,15129,-,-
VFR200_60_4,15042,15103,15042,missing,17428,-,-,15920,-,-,15587,-,-,16452,-,-,15610,-,-,16445,-,-,17666,-,-,15162,-,-,17666,-,-,15989,-,-,15007,-,-,14978,-,-,14969,-,-
VFR200_60_5,14918,14918,14996,missing,17339,-,-,16018,-,-,15686,-,-,17485,-,-,15766,-,-,17350,-,-,17880,-,-,15249,-,-,17880,-,-,16138,-,-,15029,-,-,15048,-,-,15028,-,-
VFR200_60_6,15006,15020,15006,missing,17440,-,-,15805,-,-,15569,-,-,17213,-,-,15620,-,-,17272,-,-,17691,-,-,14951,412.3055114746094,-,17691,-,-,15939,-,-,14982,-,-,14966,-,-,14948,-,-
VFR200_60_7,14894,14909,14894,missing,17590,-,-,16023,-,-,15625,-,-,17425,-,-,15780,-,-,17293,-,-,17660,-,-,15063,-,-,17532,-,-,16094,-,-,15056,-,-,15030,-,-,14982,-,-
VFR200_60_8,14925,14956,14925,missing,17803,-,-,15959,-,-,15516,-,-,15616,-,-,15551,-,-,15931,-,-,17709,-,-,15094,-,-,17660,-,-,15831,-,-,14943,-,-,14930,-,-,14901,-,-
VFR200_60_9,14852,14852,14908,missing,17763,-,-,15875,-,-,15590,-,-,17533,-,-,15707,-,-,17457,-,-,17689,-,-,15026,-,-,17689,-,-,15908,-,-,14970,-,-,14941,-,-,14926,-,-
VFR200_60_10,14867,14867,14909,missing,17483,-,-,15798,-,-,15425,-,-,17123,-,-,15424,-,-,17165,-,-,17458,-,-,15122,-,-,17458,-,-,15777,-,-,14950,-,-,14912,-,-,14908,-,-
VFR300_20_1,15996,16092,16089,15996,17145,-,-,16200,-,-,16209,-,-,17497,-,-,16227,-,-,17408,-,-,18888,-,-,16230,-,-,18888,-,-,16153,-,-,16134,-,-,16106,-,-,16097,-,-
VFR300_20_2,16129,16794,16129,16409,17158,-,-,16563,-,-,16849,-,-,17920,-,-,16877,-,-,18086,-,-,19134,-,-,16641,-,-,19134,-,-,16470,-,-,16497,-,-,16480,-,-,16491,-,-
VFR300_20_3,16010,16465,16168,16010,17193,-,-,16132,-,-,16297,-,-,17685,-,-,16356,-,-,17416,-,-,19035,-,-,16336,-,-,18860,-,-,16136,-,-,16163,-,-,16155,-,-,16136,-,-
VFR300_20_4,16052,16115,16307,16052,17173,-,-,16176,-,-,16276,-,-,17771,-,-,16323,-,-,18076,-,-,18938,-,-,16307,-,-,18938,-,-,16052,92.02153778076172,92.77474975585938,16157,-,-,16193,-,-,16167,-,-
VFR300_20_5,16095,16125,16095,21399,17118,-,-,16332,-,-,16613,-,-,18004,-,-,16542,-,-,18028,-,-,18977,-,-,16520,-,-,18977,-,-,16278,-,-,16350,-,-,16303,-,-,16320,-,-
VFR300_20_6,16021,16293,16244,16021,17018,-,-,16033,-,-,16305,-,-,17201,-,-,16254,-,-,16922,-,-,18942,-,-,16271,-,-,18942,-,-,16021,45.445404052734375,46.23301696777344,16128,-,-,16080,-,-,16086,-,-
VFR300_20_7,16062,16062,16369,16188,17311,-,-,16249,-,-,16529,-,-,16746,-,-,16558,-,-,16677,-,-,19172,-,-,16343,-,-,19172,-,-,16188,-,162.47308349609375,16248,-,-,16240,-,-,16224,-,-
VFR300_20_8,16228,16228,16324,16287,17301,-,-,16489,-,-,16641,-,-,17838,-,-,16614,-,-,17765,-,-,19043,-,-,16498,-,-,19043,-,-,16407,-,-,16402,-,-,16379,-,-,16372,-,-
VFR300_20_9,16203,16363,16798,16203,17472,-,-,16437,-,-,16646,-,-,16634,-,-,16695,-,-,16646,-,-,19181,-,-,16489,-,-,19108,-,-,16347,-,-,16339,-,-,16328,-,-,16339,-,-
VFR300_20_10,16298,16298,16483,16780,17757,-,-,16884,-,-,17250,-,-,18080,-,-,17305,-,-,17667,-,-,19443,-,-,17063,-,-,19443,-,-,16780,-,36.18042755126953,16794,-,-,16796,-,-,16794,-,-
VFR300_40_1,18127,18127,18199,missing,21336,-,-,19019,-,-,18906,-,-,21654,-,-,19028,-,-,21428,-,-,21447,-,-,18009,41.013526916503906,-,21447,-,-,19157,-,-,18211,-,-,18163,-,-,18124,-,-
VFR300_40_2,18253,18253,18348,missing,21388,-,-,19085,-,-,19092,-,-,21646,-,-,19113,-,-,21662,-,-,21759,-,-,18175,20.504234313964844,-,21819,-,-,19199,-,-,18426,-,-,18383,-,-,18360,-,-
VFR300_40_3,18227,18341,18227,missing,21641,-,-,19272,-,-,18931,-,-,20846,-,-,18999,-,-,21235,-,-,21686,-,-,18201,330.1458740234375,-,21686,-,-,19176,-,-,18412,-,-,18376,-,-,18342,-,-
VFR300_40_4,18276,18276,18343,missing,21451,-,-,19388,-,-,18547,-,-,21593,-,-,18585,-,-,21248,-,-,21671,-,-,18095,10.714141845703125,-,21627,-,-,19146,-,-,18302,-,-,18269,-,-,18240,-,-
VFR300_40_5,18181,18181,18340,missing,21278,-,-,19221,-,-,19014,-,-,22132,-,-,19069,-,-,22400,-,-,21785,-,-,18127,165.0755157470703,-,21736,-,-,19124,-,-,18385,-,-,18413,-,-,18357,-,-
VFR300_40_6,18320,18320,18396,missing,21187,-,-,19249,-,-,19080,-,-,21424,-,-,19214,-,-,21256,-,-,21717,-,-,18157,10.266036033630371,-,21717,-,-,19323,-,-,18383,-,-,18353,-,-,18336,-,-
VFR300_40_7,18250,18250,18290,missing,21567,-,-,19422,-,-,19007,-,-,21934,-,-,19224,-,-,21792,-,-,21672,-,-,18171,81.82411193847656,-,21672,-,-,19204,-,-,18401,-,-,18379,-,-,18306,-,-
VFR300_40_8,18261,18283,18261,missing,21509,-,-,18933,-,-,19016,-,-,21540,-,-,19185,-,-,20426,-,-,21717,-,-,18119,10.181962966918945,-,21717,-,-,19148,-,-,18300,-,-,18289,-,-,18209,-,-
VFR300_40_9,18238,18238,18286,missing,21237,-,-,19294,-,-,18656,-,-,18684,-,-,18722,-,-,18708,-,-,21644,-,-,18073,10.125412940979004,-,21644,-,-,19323,-,-,18333,-,-,18316,-,-,18274,-,-
VFR300_40_10,18226,18226,18373,missing,21473,-,-,19096,-,-,18956,-,-,21972,-,-,18907,-,-,21372,-,-,21639,-,-,18107,40.761817932128906,-,21665,-,-,19023,-,-,18270,-,-,18277,-,-,18240,-,-
VFR300_60_1,20397,20397,20483,missing,24026,-,-,22034,-,-,21330,-,-,21585,-,-,21562,-,-,21435,-,-,23933,-,-,20409,-,-,23933,-,-,21826,-,-,20469,-,-,20445,-,-,20417,-,-
VFR300_60_2,20290,20290,20328,missing,23743,-,-,21496,-,-,21153,-,-,23331,-,-,21200,-,-,23544,-,-,23669,-,-,20193,469.8880920410156,-,23636,-,-,21667,-,-,20341,-,-,20292,-,-,20249,-,-
VFR300_60_3,20224,20224,20293,missing,23804,-,-,21859,-,-,21405,-,-,24156,-,-,21582,-,-,24128,-,-,24083,-,-,20468,-,-,24083,-,-,21751,-,-,20353,-,-,20334,-,-,20305,-,-
VFR300_60_4,20200,20244,20200,missing,24048,-,-,21649,-,-,21293,-,-,23663,-,-,21212,-,-,23166,-,-,23656,-,-,20309,-,-,23656,-,-,21538,-,-,20391,-,-,20309,-,-,20311,-,-
VFR300_60_5,20235,20235,20280,missing,24073,-,-,21673,-,-,21175,-,-,23440,-,-,21288,-,-,23352,-,-,23808,-,-,20176,121.0548095703125,-,23904,-,-,21624,-,-,20275,-,-,20281,-,-,20183,-,-
VFR300_60_6,20156,20156,20358,missing,23798,-,-,21664,-,-,21322,-,-,21627,-,-,21263,-,-,21483,-,-,24051,-,-,20244,-,-,24051,-,-,21600,-,-,20280,-,-,20283,-,-,20272,-,-
VFR300_60_7,20180,20180,20319,missing,24106,-,-,21727,-,-,21568,-,-,21266,-,-,21642,-,-,21196,-,-,24012,-,-,20414,-,-,24012,-,-,21754,-,-,20366,-,-,20375,-,-,20351,-,-
VFR300_60_8,20285,20285,20405,missing,24004,-,-,22002,-,-,21211,-,-,23409,-,-,21266,-,-,23525,-,-,23877,-,-,20490,-,-,23877,-,-,21959,-,-,20392,-,-,20366,-,-,20314,-,-
VFR300_60_9,20291,20291,20385,missing,23904,-,-,21843,-,-,21074,-,-,24056,-,-,21435,-,-,23716,-,-,24083,-,-,20339,-,-,24083,-,-,21715,-,-,20420,-,-,20441,-,-,20397,-,-
VFR300_60_10,20249,20326,20249,missing,23859,-,-,22009,-,-,21233,-,-,21351,-,-,21290,-,-,21394,-,-,24092,-,-,20407,-,-,24092,-,-,22067,-,-,20415,-,-,20389,-,-,20355,-,-
VFR400_20_1,20952,21027,21042,20952,22145,-,-,21137,-,-,21291,-,-,22217,-,-,21461,-,-,21919,-,-,24402,-,-,21167,-,-,24402,-,-,20994,-,-,21079,-,-,21067,-,-,21054,-,-
VFR400_20_2,21346,21524,21428,21346,22445,-,-,21526,-,-,21658,-,-,22717,-,-,21681,-,-,22367,-,-,24684,-,-,21578,-,-,24684,-,-,21375,-,-,21443,-,-,21429,-,-,21429,-,-
VFR400_20_3,21237,21411,21237,21379,22307,-,-,21496,-,-,21793,-,-,21767,-,-,21870,-,-,21748,-,-,24622,-,-,21668,-,-,24622,-,-,21379,-,153.43115234375,21442,-,-,21426,-,-,21426,-,-
VFR400_20_4,21125,21426,21528,21125,22134,-,-,21365,-,-,21566,-,-,21635,-,-,21557,-,-,21577,-,-,24608,-,-,21482,-,-,24608,-,-,21167,-,-,21251,-,-,21240,-,-,21247,-,-
VFR400_20_5,16245,21231,21188,16245,22613,-,-,21533,-,-,21910,-,-,22959,-,-,21812,-,-,22757,-,-,24705,-,-,21671,-,-,24745,-,-,21413,-,-,21556,-,-,21527,-,-,21513,-,-
VFR400_20_6,21075,21497,21599,21075,22300,-,-,21141,-,-,21422,-,-,21959,-,-,21335,-,-,22157,-,-,24457,-,-,21274,-,-,24426,-,-,21168,-,-,21226,-,-,21201,-,-,21183,-,-
VFR400_20_7,21165,21165,21264,21507,22620,-,-,21643,-,-,21828,-,-,23111,-,-,21835,-,-,22967,-,-,24399,-,-,21832,-,-,24334,-,-,21507,-,301.0576171875,21662,-,-,21625,-,-,21606,-,-
VFR400_20_8,21198,21580,21293,21198,22244,-,-,21306,-,-,21442,-,-,21596,-,-,21437,-,-,21563,-,-,24152,-,-,21441,-,-,24152,-,-,21202,-,-,21280,-,-,21274,-,-,21258,-,-
VFR400_20_9,21236,21264,21526,21236,22327,-,-,21462,-,-,21639,-,-,22595,-,-,21711,-,-,22854,-,-,24489,-,-,21460,-,-,24345,-,-,21379,-,-,21325,-,-,21324,-,-,21297,-,-
VFR400_20_10,21301,21301,21411,21456,22680,-,-,21490,-,-,21866,-,-,22045,-,-,21822,-,-,22026,-,-,24572,-,-,21618,-,-,24572,-,-,21456,-,32.01063537597656,21542,-,-,21533,-,-,21527,-,-
VFR400_40_1,23362,23362,23393,missing,26863,-,-,24007,-,-,23837,-,-,27682,-,-,23896,-,-,27438,-,-,27598,-,-,23085,8.997663497924805,-,27508,-,-,24464,-,-,23422,-,-,23423,-,-,23380,-,-
VFR400_40_2,23467,23504,23467,missing,27020,-,-,24644,-,-,23956,-,-,24262,-,-,24101,-,-,24225,-,-,27384,-,-,23004,1.502175211906433,-,27384,-,-,24523,-,-,23374,-,-,23358,-,-,23293,-,-
VFR400_40_3,23257,23257,23269,missing,27469,-,-,24394,-,-,24020,-,-,27016,-,-,24253,-,-,27654,-,-,27533,-,-,23200,145.3040008544922,-,27533,-,-,24538,-,-,23540,-,-,23495,-,-,23439,-,-
