instance,best_known,IGrms,VBIH,GmysBB,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_to_improve,IGbob_90_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_to_improve,IBS_bi_min_walpha_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_to_improve,IBS_bi_min_gap_time_opt
VFR400_60_6,25415,25615,25415,missing,25331,-,-,25246,207.95738220214844,207.95738220214844,-,26753,-,-,-
VFR400_60_7,25358,25358,25603,missing,25410,-,-,25173,435.5461120605469,435.5461120605469,-,27114,-,-,-
VFR400_60_8,25372,25372,25673,missing,25616,-,-,25364,826.6395874023438,826.6395874023438,-,27632,-,-,-
VFR400_60_9,25541,25541,25658,missing,25639,-,-,25474,831.929931640625,831.929931640625,-,27443,-,-,-
VFR400_60_10,25549,25622,25549,missing,25626,-,-,25494,832.367431640625,832.367431640625,-,27624,-,-,-
VFR500_20_1,26253,26355,26374,26253,26380,-,-,26560,-,-,-,26276,-,-,-
VFR500_20_2,26043,26043,26359,26555,26620,-,-,26846,-,-,-,26575,-,-,-
VFR500_20_3,26080,26631,26080,26268,26363,-,-,26591,-,-,-,26269,-,-,-
VFR500_20_4,25994,26357,26759,25994,26086,-,-,26307,-,-,-,25996,-,-,-
VFR500_20_5,26058,26058,26411,26703,26733,-,-,27099,-,-,-,26703,-,-,295.57623291015625
VFR500_20_6,26325,26729,26409,26325,26428,-,-,26555,-,-,-,26325,52.89511489868164,-,53.09699630737305
VFR500_20_7,26305,26395,26305,26313,26401,-,-,26666,-,-,-,26413,-,-,-
VFR500_20_8,26217,26401,26430,26217,26305,-,-,26401,-,-,-,26327,-,-,-
VFR500_20_9,26034,26302,26034,26345,26416,-,-,26646,-,-,-,26368,-,-,-
VFR500_20_10,26345,26410,26641,26345,26052,-,-,26292,8.469788551330566,8.469788551330566,-,26024,0.09926826506853104,0.09926826506853104,106.28292083740234
VFR500_40_1,28362,28362,28402,missing,28367,-,-,28110,7.037445068359375,7.037445068359375,-,30049,-,-,-
VFR500_40_2,28526,28585,28526,missing,28574,-,-,28306,14.086627006530762,14.086627006530762,-,29752,-,-,-
VFR500_40_3,28503,28503,28615,missing,28436,-,-,28234,3.572305917739868,3.572305917739868,-,29620,-,-,-
VFR500_40_4,28374,28374,28579,missing,28562,-,-,28327,224.72825622558594,224.72825622558594,-,29824,-,-,-
VFR500_40_5,28432,28477,28432,missing,28530,-,-,28276,28.213708877563477,28.213708877563477,-,29762,-,-,-
VFR500_40_6,28543,28543,28553,missing,28347,-,-,28111,1.7244889736175537,1.7244889736175537,-,29535,-,-,-
VFR500_40_7,28248,28248,28488,missing,28545,-,-,28294,-,-,-,29900,-,-,-
VFR500_40_8,28486,28486,28640,missing,28481,-,-,28305,28.126708984375,28.126708984375,-,30130,-,-,-
VFR500_40_9,28435,28435,28644,missing,28629,-,-,28404,56.22274398803711,56.22274398803711,-,30344,-,-,-
VFR500_40_10,28613,28640,28613,missing,28592,-,-,28322,7.143674373626709,7.143674373626709,-,29697,-,-,-
VFR500_60_1,30609,30609,30682,missing,30683,-,-,30263,82.10821533203125,82.11015319824219,-,33168,-,-,-
VFR500_60_2,30828,30828,30852,missing,30623,-,-,30328,40.86418914794922,40.86418914794922,-,32593,-,-,-
VFR500_60_3,30597,30597,30793,missing,30775,-,-,30494,322.5695495605469,322.5695495605469,-,33437,-,-,-
VFR500_60_4,30763,30823,30763,missing,30817,-,-,30512,88.27236938476562,88.27236938476562,-,32712,-,-,-
VFR500_60_5,30788,30796,30788,missing,30751,-,-,30371,80.7502212524414,80.7502212524414,-,33339,-,-,-
VFR500_60_6,30700,30700,30826,missing,30836,-,-,30507,161.26919555664062,161.26919555664062,-,33488,-,-,-
VFR500_60_7,30829,30829,30837,missing,30715,-,-,30406,20.693477630615234,20.693477630615234,-,32988,-,-,-
VFR500_60_8,30733,30733,30805,missing,30751,-,-,30389,81.03357696533203,81.03357696533203,-,32901,-,-,-
VFR500_60_9,30729,30729,30866,missing,30754,-,-,30393,160.51113891601562,160.51113891601562,-,33224,-,-,-
VFR500_60_10,30664,30785,30664,missing,30833,-,-,30552,1292.3809814453125,1292.3809814453125,-,33044,-,-,-
VFR600_20_1,31303,31359,31372,31303,31361,-,-,31523,-,-,-,31303,44.554264068603516,-,52.190040588378906
VFR600_20_2,31107,31107,31429,31281,31386,-,-,31684,-,-,-,31281,-,-,369.3541259765625
VFR600_20_3,31372,31372,31487,31374,31414,-,-,31670,-,-,-,31374,-,-,24.917078018188477
VFR600_20_4,31407,31412,31407,31417,31491,-,-,31679,-,-,-,31440,-,-,-
VFR600_20_5,31323,31480,31696,31323,31396,-,-,31657,-,-,-,31476,-,-,-
VFR600_20_6,31387,31387,31527,31613,31685,-,-,31973,-,-,-,31613,-,-,165.65943908691406
VFR600_20_7,31461,31668,31523,31461,31527,-,-,31885,-,-,-,31461,81.10894775390625,-,81.79280853271484
VFR600_20_8,31414,31483,31532,31414,31489,-,-,31700,-,-,-,31425,-,-,-
VFR600_20_9,31107,31465,31107,31473,31528,-,-,31931,-,-,-,31477,-,-,-
